;alias;group;default;unit;description;gui_type;gui_args
pick_ori;Dipole-Orientation;Inverse;None;;Choose the Dipole-Orientation for Source-Estimate;ComboGui;{'options': [None, 'normal', 'vector']}
lambda2;;Inverse;1.0 / 3.0 ** 2;;lambda2 for Source-Estimate;FuncGui;
stc_surface;;Inverse;inflated;;Select the surface type for Source Estimate Plots;ComboGui;{'options':['inflated', 'white', 'pial']}
stc_hemi;;Inverse;'split';;Select the hemispheres for Source Estimate Plots;ComboGui;{'options':['lh', 'rh', 'both', 'split']}
stc_views;;Inverse;['med', 'lat'];;Select the views for Source Estimate Plots;MultiTypeGui;{'type_selection': True, 'types': ['str', 'list']}
stc_time;;Inverse;0;;Initial time for Source Estimate Plots;FloatGui;
stc_clim;;Inverse;'auto';;Colorbar Limits for Source Estimate Plots;MultiTypeGui;{'type_selection': True, 'types': ['str', 'dict']}
stc_background;;Inverse;'black';;Background for Source Estimate Plots;MultiTypeGui;{'type_selection': False}
stc_roll;;Inverse;0;;Roll for view in for Source Estimate Plots;IntGui;{'max_val': 360}
stc_azimuth;;Inverse;0;;Azimuth for view for Source Estimate Plots;IntGui;{'max_val': 360}
stc_elevation;;Inverse;0;;Elevation for view for Source Estimate Plots;IntGui;{'max_val': 360}
stc_animation_span;;Inverse;(0,0.5);s;time-span for stc-animation[s];TupleGui;
stc_animation_dilat;;Inverse;20;;time-dilation for stc-animation;IntGui;
target_labels;;Inverse;[];;;LabelGui;
label_colors;;Inverse;{};;Set custom colors for labels.;ColorGui;{'keys': 'target_labels', 'none_select':True}
extract_mode;Label-Extraction-Mode;Inverse;mean_flip;;mode for extracting label-time-course from Source-Estimate;ComboGui;{'options': ['max', 'mean', 'mean_flip', 'pca_flip']}
con_methods;;Connectivity;['coh'];;methods for connectivity plots;CheckListGui;{'options': ['coh', 'cohy', 'imcoh', 'plv', 'ciplv', 'ppc', 'pli', 'pli2_unbiased', 'wpli', 'wpli2_debiased']}
con_fmin;;Connectivity;30;;fmin for connectivity plot;IntGui;
con_fmax;;Connectivity;80;;fmax for connectivity plot;IntGui;
ecd_times;;Inverse;{};;;DictGui;
ecd_positions;;Inverse;{};;;DictGui;
ecd_orientations;;Inverse;{};;;DictGui;
morph_to;;Grand-Average;fsaverage;;name of the freesurfer subject to be morphed to;StringGui;
ica_source_data;;ICA;raw_filtered;;Which data to plot in sources-plot from ICA;ComboGui;{'options': {'raw': 'Raw (unfiltered)', 'raw_filtered': 'Raw (filtered)', 'epochs': 'Epochs', 'epochs_eog': 'Epochs (EOG)', 'epochs_ecg': 'Epochs (ECG)', 'evoked': 'Evoked', 'evoked_eog': 'Evoked (EOG)', 'evoked_ecg': 'Evoked (ECG)'}}
ica_overlay_data;;ICA;evoked;;Which data to plot in overlay-plot from ICA;ComboGui;{'options': {'raw': 'Raw (unfiltered)', 'raw_filtered': 'Raw (filtered)', 'evoked': 'Evoked', 'evoked_eog': 'Evoked (EOG)', 'evoked_ecg': 'Evoked (ECG)'}}
plot_sensors_kind;;Plot;'topomap';;The kind of plot for plot_sensors;ComboGui;{'options':['topomap', '3d', 'select']}
erm_ssp_duration;;Preprocessing;1;s;The time-chunk to use for ssp;IntGui;
erm_n_grad;;Preprocessing;2;;The number of projections for Gradiometer;IntGui;
erm_n_mag;;Preprocessing;2;;The number of projections for Magnetometer;IntGui;
erm_n_eeg;;Preprocessing;0;;The number of projections for EEG;IntGui;
ga_interpolate_bads;;Grand-Average;True;;If to interpolate bad channels for the Grand-Average;BoolGui;
ga_drop_bads;;Grand-Average;True;;If to drop bad channels for the Grand-Average;BoolGui;
connectivity_vmin;;Connectivity;None;;Minimum value for colormap;FloatGui;{'step': 0.01, 'none_select':True}
connectivity_vmax;;Connectivity;None;;Maximum value for colormap;FloatGui;{'step': 0.01, 'none_select':True}
